country,date,agricultural_land,land_area,GDP_current_US,life_expectancy_at_birth,population,rural_population
Brunei Darussalam,1965-01-01,4.55407969639469,5270.0,114039500.514481,61.193,107686.0,51016.0
Brunei Darussalam,1966-01-01,4.36432637571157,5270.0,132757527.954984,61.963,112597.0,51267.0
Brunei Darussalam,1967-01-01,4.36432637571157,5270.0,139029537.149708,62.511,117628.0,51403.0
Brunei Darussalam,1968-01-01,4.55407969639469,5270.0,160818235.758462,63.005,122764.0,51416.0
Brunei Darussalam,1969-01-01,4.55407969639469,5270.0,161210236.333132,63.553,128012.0,51323.0
Brunei Darussalam,1970-01-01,4.55407969639469,5270.0,179078929.195183,64.11,133343.0,51104.0
Brunei Darussalam,1971-01-01,3.60531309297913,5270.0,197525739.976803,64.699,138666.0,50735.0
Brunei Darussalam,1972-01-01,3.41555977229602,5270.0,270822794.672458,65.35,143886.0,52179.0
Brunei Darussalam,1973-01-01,3.41555977229602,5270.0,433095587.469864,65.963,149065.0,53829.0
Brunei Darussalam,1974-01-01,3.41555977229602,5270.0,1073591771.22042,66.528,154314.0,55490.0
Brunei Darussalam,1975-01-01,3.41555977229602,5270.0,1168304306.10676,67.107,159653.0,57167.0
Brunei Darussalam,1976-01-01,3.2258064516129,5270.0,1423037359.4965,67.608,165064.0,58854.0
Brunei Darussalam,1977-01-01,2.84629981024668,5270.0,1732721161.47394,68.075,170560.0,60556.0
Brunei Darussalam,1978-01-01,2.84629981024668,5270.0,1941579358.89798,68.487,176176.0,62284.0
Brunei Darussalam,1979-01-01,2.84629981024668,5270.0,2803833729.76268,68.862,181951.0,64050.0
Brunei Darussalam,1980-01-01,2.65654648956357,5270.0,4928805777.2815,69.246,187921.0,65868.0
Brunei Darussalam,1981-01-01,2.65654648956357,5270.0,4366231073.11486,69.54,194099.0,67742.0
Brunei Darussalam,1982-01-01,2.46679316888046,5270.0,4264202522.65907,69.841,200630.0,69721.0
Brunei Darussalam,1983-01-01,2.46679316888046,5270.0,3844632168.59262,70.09,207523.0,71805.0
Brunei Darussalam,1984-01-01,2.27703984819734,5270.0,3782552643.47893,70.358,214682.0,73962.0
Brunei Darussalam,1985-01-01,2.27703984819734,5270.0,3523532486.95521,70.582,222119.0,76193.0
Brunei Darussalam,1986-01-01,2.27703984819734,5270.0,2358574763.85308,70.847,229815.0,78491.0
Brunei Darussalam,1987-01-01,2.27703984819734,5270.0,2754485236.50868,71.019,237712.0,80836.0
Brunei Darussalam,1988-01-01,2.27703984819734,5270.0,2690684124.87422,71.236,245729.0,83196.0
Brunei Darussalam,1989-01-01,2.27703984819734,5270.0,2985531762.88612,71.445,253821.0,85563.0
Brunei Darussalam,1990-01-01,2.08728652751423,5270.0,3520486979.54981,71.656,261928.0,87908.0
Brunei Darussalam,1991-01-01,2.08728652751423,5270.0,3701774188.88021,71.871,269860.0,90174.0
Brunei Darussalam,1992-01-01,2.08728652751423,5270.0,4183633796.47628,72.081,277416.0,91331.0
Brunei Darussalam,1993-01-01,2.08728652751423,5270.0,4105729444.14733,72.312,284713.0,92236.0
Brunei Darussalam,1994-01-01,2.08728652751423,5270.0,4087219772.89949,72.553,291935.0,93051.0
Brunei Darussalam,1995-01-01,1.89753320683112,5270.0,4734103536.46706,72.816,299097.0,93785.0
Brunei Darussalam,1996-01-01,1.89753320683112,5270.0,5115454694.27896,73.1,306196.0,94437.0
Brunei Darussalam,1997-01-01,1.89753320683112,5270.0,5197312555.4576,73.364,313215.0,95011.0
Brunei Darussalam,1998-01-01,1.89753320683112,5270.0,4051143193.1732,73.619,320152.0,95501.0
Brunei Darussalam,1999-01-01,1.89753320683112,5270.0,4600117603.79321,73.863,327045.0,95926.0
Brunei Darussalam,2000-01-01,1.89753320683112,5270.0,6001280943.71691,74.08,333926.0,96291.0
Brunei Darussalam,2001-01-01,2.08728652751423,5270.0,5601020247.27601,74.276,340748.0,96595.0
Brunei Darussalam,2002-01-01,2.08728652751423,5270.0,5843367180.06094,74.426,347463.0,97130.0
Brunei Darussalam,2003-01-01,2.08728652751423,5270.0,6557395815.59539,74.561,354045.0,97642.0
Brunei Darussalam,2004-01-01,2.08728652751423,5270.0,7872201250.91582,74.65,360461.0,98067.0
Brunei Darussalam,2005-01-01,2.08728652751423,5270.0,9531417164.46943,74.731,366717.0,98416.0
Brunei Darussalam,2006-01-01,1.95445920303605,5270.0,11470462364.6891,74.783,372808.0,98686.0
Brunei Darussalam,2007-01-01,2.16318785578748,5270.0,12247680702.8059,74.818,378748.0,98884.0
Brunei Darussalam,2008-01-01,2.16318785578748,5270.0,14393437610.2552,74.84,384568.0,99019.0
Brunei Darussalam,2009-01-01,2.5426944971537,5270.0,10732592999.3918,74.846,390311.0,99108.0
Brunei Darussalam,2010-01-01,2.5426944971537,5270.0,13707275498.0569,74.849,396053.0,99168.0
Brunei Darussalam,2011-01-01,2.5426944971537,5270.0,18525128229.6754,74.858,401506.0,99132.0
Brunei Darussalam,2012-01-01,2.5426944971537,5270.0,19048443089.2531,74.827,406634.0,98991.0
Brunei Darussalam,2013-01-01,2.5426944971537,5270.0,18094326392.7086,74.799,411702.0,98821.0
Brunei Darussalam,2014-01-01,2.5426944971537,5270.0,17097801091.9771,74.779,416656.0,98614.0
Brunei Darussalam,2015-01-01,2.5426944971537,5270.0,12930292949.4216,74.75,421437.0,98351.0
